normalized_period,symbol,original_period,out_sample_range,net_profit,winning_trades,total_trades,win_rate,max_drawdown,recovery_factor,selected_based_on_period,rank_in_prev_period,profit_rank_prev_period,wins_rank_prev_period,recovery_rank_prev_period,final_rank_prev_period
60,ETHUSDT,15,2020-01-23 07:45:00 to 2020-01-25 07:45:00,1.253616394003365,1,1,100.0,-1.8644477502095635,0.6723794720782381,59,4,4,1,1,2.5
64,BTCUSDT,44,2020-01-30 17:45:00 to 2020-02-01 17:45:00,0.0,0,0,0.0,0.0,0.0,63,4,1,1,7,2.5
67,LINKUSDT,3,2020-02-07 08:00:00 to 2020-02-09 08:00:00,-1.3855393662794424,0,1,0.0,-1.3855393662794424,1.0,66,4,4,1,1,2.5
68,LTCUSDT,6,2020-02-08 08:00:00 to 2020-02-10 08:00:00,-2.0811642060184155,0,1,0.0,-2.0811642060184155,1.0,67,4,2,2,6,3.0
69,LTCUSDT,7,2020-02-11 08:00:00 to 2020-02-13 08:00:00,0.0,0,0,0.0,0.0,0.0,68,4,4,2,1,2.75
70,BTCUSDT,48,2020-02-11 17:45:00 to 2020-02-13 17:45:00,0.0,0,0,0.0,0.0,0.0,69,4,1,1,8,2.75
73,LINKUSDT,7,2020-02-19 08:00:00 to 2020-02-21 08:00:00,0.0,0,0,0.0,0.0,0.0,72,4,4,4,3,3.75
75,ZECUSDT,2,2020-02-23 08:00:00 to 2020-02-25 08:00:00,-0.5532540493410232,0,1,0.0,-0.5532540493410232,1.0,74,4,2,1,5,2.5
77,BTCUSDT,53,2020-02-26 17:45:00 to 2020-02-28 17:45:00,1.6180461912321364,1,1,100.0,0.0,999.0,76,4,2,2,2,2.0
79,ATOMUSDT,4,2020-03-02 12:00:00 to 2020-03-04 12:00:00,0.8053074872830246,1,1,100.0,-0.8494384164061453,0.9480469351623718,78,4,2,2,4,2.5
81,ONTUSDT,4,2020-03-06 08:00:00 to 2020-03-08 08:00:00,0.0,0,0,0.0,0.0,0.0,80,4,2,2,2,2.0
82,ETCUSDT,13,2020-03-07 08:00:00 to 2020-03-09 08:00:00,-0.08336014525232027,0,1,0.0,-0.08336014525232027,1.0,81,4,3,3,7,4.0
