Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2021-06-11 03:30:00 to 2021-06-25 03:30:00,2021-06-26 03:30:00 to 2021-06-28 03:30:00,85,0.074,1,1.9985207837392411,3.293943060900231,100.0,220.1787161827087,320
2,2021-06-14 03:30:00 to 2021-06-28 03:30:00,2021-06-29 03:30:00 to 2021-07-01 03:30:00,85,0.08,1,0.5812660194174715,3.3542337049148307,100.0,219.25038409233093,321
3,2021-06-17 03:30:00 to 2021-07-01 03:30:00,2021-07-02 03:30:00 to 2021-07-04 03:30:00,25,0.034,2,1.8738021611972728,2.3860347877358437,100.0,222.82637524604797,323
4,2021-06-20 03:30:00 to 2021-07-04 03:30:00,2021-07-05 03:30:00 to 2021-07-07 03:30:00,235,0.022,2,4.594163874342485,7.832449465737168,100.0,221.66273093223572,325
5,2021-06-23 03:30:00 to 2021-07-07 03:30:00,2021-07-08 03:30:00 to 2021-07-10 03:30:00,100,0.036,2,-1.662980653452596,7.268585429080721,50.0,216.36553597450256,326
6,2021-06-26 03:30:00 to 2021-07-10 03:30:00,2021-07-11 03:30:00 to 2021-07-13 03:30:00,20,0.022,0,0.0,0.0,0.0,212.65917372703552,327
7,2021-06-29 03:30:00 to 2021-07-13 03:30:00,2021-07-14 03:30:00 to 2021-07-16 03:30:00,90,0.03,2,4.551485433952203,4.368014706467882,100.0,216.92798805236816,329
8,2021-07-02 03:30:00 to 2021-07-16 03:30:00,2021-07-17 03:30:00 to 2021-07-19 03:30:00,90,0.03,2,-2.65627029202622,7.094642145474619,50.0,215.4535710811615,331
9,2021-07-05 03:30:00 to 2021-07-19 03:30:00,2021-07-20 03:30:00 to 2021-07-22 03:30:00,25,0.026,3,6.596015000338521,1.5913797950158917,66.66666666666666,210.69973516464233,332
10,2021-07-08 03:30:00 to 2021-07-22 03:30:00,2021-07-23 03:30:00 to 2021-07-25 03:30:00,25,0.026,3,2.7231123993154505,0.8969522072268736,100.0,216.96281790733337,333
11,2021-07-11 03:30:00 to 2021-07-25 03:30:00,2021-07-26 03:30:00 to 2021-07-28 03:30:00,25,0.026,3,-2.2080956991662606,7.58839155355482,66.66666666666666,212.55299186706543,335
12,2021-07-14 03:30:00 to 2021-07-28 03:30:00,2021-07-29 03:30:00 to 2021-07-31 03:30:00,25,0.02,2,-1.923979987975199,3.6177196485522143,50.0,212.01711893081665,337
13,2021-07-17 03:30:00 to 2021-07-31 03:30:00,2021-08-01 03:30:00 to 2021-08-03 03:30:00,290,0.02,1,-2.6960346415949608,3.411605846911291,0.0,212.1671221256256,338
14,2021-07-20 03:30:00 to 2021-08-03 03:30:00,2021-08-04 03:30:00 to 2021-08-06 03:30:00,205,0.022,1,5.057643876410057,2.4086587137503157,100.0,210.19794821739197,339
15,2021-07-23 03:30:00 to 2021-08-06 03:30:00,2021-08-07 03:30:00 to 2021-08-09 03:30:00,280,0.02,1,0.1041575758294675,4.677251043859961,0.0,207.99532294273376,341
16,2021-07-26 03:30:00 to 2021-08-09 03:30:00,2021-08-10 03:30:00 to 2021-08-12 03:30:00,95,0.02,3,5.940814837902235,1.2909153860445477,100.0,213.4270429611206,343
17,2021-07-29 03:30:00 to 2021-08-12 03:30:00,2021-08-13 03:30:00 to 2021-08-15 03:30:00,40,0.02,2,1.9265942785823065,0.9440211894512056,100.0,209.8021140098572,344
18,2021-08-01 03:30:00 to 2021-08-15 03:30:00,2021-08-16 03:30:00 to 2021-08-18 03:30:00,275,0.02,2,-4.0973576898575805,12.091398445202286,50.0,213.0260570049286,345
19,2021-08-04 03:30:00 to 2021-08-18 03:30:00,2021-08-19 03:30:00 to 2021-08-21 03:30:00,85,0.02,3,4.712947141314507,3.742985298136485,66.66666666666666,209.4768350124359,347
20,2021-08-07 03:30:00 to 2021-08-21 03:30:00,2021-08-22 03:30:00 to 2021-08-24 03:30:00,40,0.024,1,1.4783115889212786,1.0628335962884063,100.0,214.76231217384336,349
21,2021-08-10 03:30:00 to 2021-08-24 03:30:00,2021-08-25 03:30:00 to 2021-08-27 03:30:00,30,0.022,5,-4.603964709765242,12.62002221271524,60.0,213.305114030838,350
22,2021-08-13 03:30:00 to 2021-08-27 03:30:00,2021-08-28 03:30:00 to 2021-08-30 03:30:00,110,0.076,1,-0.5159915234283108,0.5159915234283108,0.0,212.36389088630676,351
23,2021-08-16 03:30:00 to 2021-08-30 03:30:00,2021-08-31 03:30:00 to 2021-09-02 03:30:00,290,0.046,1,7.145287325225709,9.026816194414838,100.0,213.9121391773224,353
24,2021-08-19 03:30:00 to 2021-09-02 03:30:00,2021-09-03 03:30:00 to 2021-09-05 03:30:00,260,0.048,1,0.2865882054319445,0.6954493171463,0.0,212.6088409423828,355
25,2021-08-22 03:30:00 to 2021-09-05 03:30:00,2021-09-06 03:30:00 to 2021-09-08 03:30:00,255,0.048,2,-11.427800113352223,21.22985427785355,50.0,214.8541030883789,356
26,2021-08-25 03:30:00 to 2021-09-08 03:30:00,2021-09-09 03:30:00 to 2021-09-11 03:30:00,195,0.054,1,-2.1990271482583195,4.586667386734011,0.0,215.11082124710083,357
27,2021-08-28 03:30:00 to 2021-09-11 03:30:00,2021-09-12 03:30:00 to 2021-09-14 03:30:00,285,0.028,2,7.421020177289701,5.113789926759329,100.0,215.28386807441711,359
28,2021-08-31 03:30:00 to 2021-09-14 03:30:00,2021-09-15 03:30:00 to 2021-09-17 03:30:00,290,0.034,1,0.398456547175847,0.839803732016092,0.0,215.10979986190796,361
29,2021-09-03 03:30:00 to 2021-09-17 03:30:00,2021-09-18 03:30:00 to 2021-09-20 03:30:00,15,0.026,0,0.0,0.0,0.0,217.2527368068695,362
30,2021-09-06 03:30:00 to 2021-09-20 03:30:00,2021-09-21 03:30:00 to 2021-09-23 03:30:00,15,0.026,3,3.441343378431193,4.529020975677754,66.66666666666666,218.75846195220947,363
31,2021-09-09 03:30:00 to 2021-09-23 03:30:00,2021-09-24 03:30:00 to 2021-09-26 03:30:00,15,0.026,2,-4.02472212630013,7.363377637912599,0.0,214.5240728855133,365
32,2021-09-12 03:30:00 to 2021-09-26 03:30:00,2021-09-27 03:30:00 to 2021-09-29 03:30:00,55,0.054,0,0.0,0.0,0.0,212.61730098724365,367
33,2021-09-15 03:30:00 to 2021-09-29 03:30:00,2021-09-30 03:30:00 to 2021-10-02 03:30:00,55,0.054,0,0.0,0.0,0.0,215.49516701698303,368
34,2021-09-18 03:30:00 to 2021-10-02 03:30:00,2021-10-03 03:30:00 to 2021-10-05 03:30:00,275,0.078,0,0.0,0.0,0.0,215.60170912742615,369
35,2021-09-21 03:30:00 to 2021-10-05 03:30:00,2021-10-06 03:30:00 to 2021-10-08 03:30:00,80,0.03,2,4.562841726067454,1.449744961338583,50.0,211.97391724586487,371
36,2021-09-24 03:30:00 to 2021-10-08 03:30:00,2021-10-09 03:30:00 to 2021-10-11 03:30:00,210,0.03,1,-1.770976612269369,3.5618883226908316,0.0,212.98898816108704,373
37,2021-09-27 03:30:00 to 2021-10-11 03:30:00,2021-10-12 03:30:00 to 2021-10-14 03:30:00,85,0.028,1,-0.1379412622035306,4.445582119062922,0.0,209.53598713874817,374
38,2021-09-30 03:30:00 to 2021-10-14 03:30:00,2021-10-15 03:30:00 to 2021-10-17 03:30:00,70,0.028,2,2.651855359458841,0.7890070537626749,100.0,209.62745904922485,375
39,2021-10-03 03:30:00 to 2021-10-17 03:30:00,2021-10-18 03:30:00 to 2021-10-20 03:30:00,70,0.028,2,-1.4628682099726755,6.246341072582455,50.0,215.41002106666565,377
40,2021-10-06 03:30:00 to 2021-10-20 03:30:00,2021-10-21 03:30:00 to 2021-10-23 03:30:00,85,0.022,2,-0.4417417334208948,4.1867516736788435,0.0,210.97302293777463,379
41,2021-10-09 03:30:00 to 2021-10-23 03:30:00,2021-10-24 03:30:00 to 2021-10-26 03:30:00,195,0.042,1,4.441577862581471,2.1538376077350505,100.0,208.70828008651733,380
