Period number,In-sample date range,Out-of-sample date range,MA1 length,Afastamento,Out-of-sample trades,Out-of-sample net profit (%),Out-of-sample max drawdown (%),Out-of-sample win rate (%),Processing time (seconds),normalized_period
1,2023-11-02 12:45:00 to 2023-11-16 12:45:00,2023-11-17 12:45:00 to 2023-11-19 12:45:00,40,0.022,3,1.601626887881321,2.8552421893146023,100.0,208.48223304748535,697
2,2023-11-05 12:45:00 to 2023-11-19 12:45:00,2023-11-20 12:45:00 to 2023-11-22 12:45:00,40,0.022,3,0.6246199295772931,7.437342744595991,66.66666666666666,210.7263467311859,699
3,2023-11-08 12:45:00 to 2023-11-22 12:45:00,2023-11-23 12:45:00 to 2023-11-25 12:45:00,270,0.022,2,1.0430831946802028,3.0316055103592143,50.0,209.49704885482788,701
4,2023-11-11 12:45:00 to 2023-11-25 12:45:00,2023-11-26 12:45:00 to 2023-11-28 12:45:00,255,0.02,1,-3.643314216280887,7.132756166217238,0.0,208.03263998031616,702
5,2023-11-14 12:45:00 to 2023-11-28 12:45:00,2023-11-29 12:45:00 to 2023-12-01 12:45:00,255,0.05,0,0.0,0.0,0.0,209.8099200725555,703
6,2023-11-17 12:45:00 to 2023-12-01 12:45:00,2023-12-02 12:45:00 to 2023-12-04 12:45:00,265,0.044,0,0.0,0.0,0.0,204.2074429988861,705
7,2023-11-20 12:45:00 to 2023-12-04 12:45:00,2023-12-05 12:45:00 to 2023-12-07 12:45:00,135,0.062,0,0.0,0.0,0.0,204.4303150177002,707
8,2023-11-23 12:45:00 to 2023-12-07 12:45:00,2023-12-08 12:45:00 to 2023-12-10 12:45:00,245,0.05,0,0.0,0.0,0.0,207.6316909790039,708
9,2023-11-26 12:45:00 to 2023-12-10 12:45:00,2023-12-11 12:45:00 to 2023-12-13 12:45:00,175,0.02,3,5.0399082707866905,1.6730191285834015,66.66666666666666,197.7607479095459,709
10,2023-11-29 12:45:00 to 2023-12-13 12:45:00,2023-12-14 12:45:00 to 2023-12-16 12:45:00,300,0.02,1,-2.414064372510184,5.590221224256099,0.0,198.56312894821167,711
11,2023-12-02 12:45:00 to 2023-12-16 12:45:00,2023-12-17 12:45:00 to 2023-12-19 12:45:00,155,0.02,1,-0.7082136296982935,5.223070661436221,0.0,202.9111750125885,713
12,2023-12-05 12:45:00 to 2023-12-19 12:45:00,2023-12-20 12:45:00 to 2023-12-22 12:45:00,150,0.024,2,1.2808084090391094,1.6703559069374434,50.0,205.84404468536377,714
13,2023-12-08 12:45:00 to 2023-12-22 12:45:00,2023-12-23 12:45:00 to 2023-12-25 12:45:00,145,0.024,1,1.1408184231953782,0.1644013761238318,100.0,206.4498381614685,715
14,2023-12-11 12:45:00 to 2023-12-25 12:45:00,2023-12-26 12:45:00 to 2023-12-28 12:45:00,80,0.022,3,10.887251710400596,1.052399302865704,100.0,200.5294349193573,717
15,2023-12-14 12:45:00 to 2023-12-28 12:45:00,2023-12-29 12:45:00 to 2023-12-31 12:45:00,80,0.02,3,7.404335911626331,2.8608347303311477,100.0,196.46595907211304,719
16,2023-12-17 12:45:00 to 2023-12-31 12:45:00,2024-01-01 12:45:00 to 2024-01-03 12:45:00,80,0.02,3,4.08640267426761,6.133126119885186,66.66666666666666,201.75720882415771,720
