Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return,Original Return (%),Is Outlier,Z-Score
top7,2020,2,February,2020-02,2020-02-03 08:00:00,2020-02-28 11:30:00,10000.0,10151.06535489914,1.510653548991403,0.0,7.168080347045276,1,100.0,10151.06535489914,,,
top7,2020,3,March,2020-03,2020-03-01 08:00:00,2020-03-30 05:15:00,10151.06535489914,10379.339232998691,2.2487676920470268,0.0,7.495984661105474,3,33.33333333333333,10379.33923299869,,,
top7,2020,4,April,2020-04,2020-04-02 08:00:00,2020-04-30 08:00:00,10379.339232998691,10844.12721766793,4.478011309154972,-2.9831515049451807,19.06295366458405,3,0.0,10844.127217667929,,,
top7,2020,5,May,2020-05,2020-05-04 08:00:00,2020-05-28 08:00:00,10844.12721766793,10449.401097125274,-3.6399989839619784,-5.079615678928873,16.98459465384843,3,0.0,10449.401097125272,,,
top7,2020,6,June,2020-06,2020-06-01 08:00:00,2020-06-29 12:00:00,10449.401097125274,11203.423700414784,7.215940859011982,-1.1102230246251565e-14,13.25460512336128,3,33.33333333333333,11203.42370041478,,,
top7,2020,7,July,2020-07,2020-07-03 08:00:00,2020-07-30 17:45:00,11203.423700414784,12369.374330552133,10.407092164997579,-1.1102230246251565e-14,24.87339766471523,3,0.0,12369.37433055213,,,
top7,2020,8,August,2020-08,2020-08-04 09:00:00,2020-08-29 08:00:00,12369.374330552133,13459.954569709622,8.816777712545854,-2.5986666590416485,23.88733370971571,4,25.0,13459.954569709618,,,
top7,2020,9,September,2020-09,2020-09-01 09:00:00,2020-09-28 17:45:00,13459.954569709622,13572.638312538467,0.8371777352237819,-1.1102230246251565e-14,3.3344982483371846,2,50.0,13572.638312538464,,,
top7,2020,10,October,2020-10,2020-10-03 08:00:00,2020-10-31 08:45:00,13572.638312538467,13987.276884782743,3.0549592694975924,-2.7375434056927106,17.160214311380432,2,0.0,13987.276884782737,,,
top7,2020,11,November,2020-11,2020-11-04 07:00:00,2020-11-30 23:45:00,13987.276884782743,14916.459070935225,6.643052781512984,-6.24452182504609,48.313067135007635,9,55.55555555555556,20101.740130919276,43.714464913386266,True,3.77256880556549
top7,2020,12,December,2020-12,2020-12-01 14:45:00,2020-12-31 16:30:00,14916.459070935225,15214.034095296947,1.9949441281379432,-8.67191907136865,46.688730138673826,6,16.666666666666664,20502.7586153146,,,
top7,2021,1,January,2021-01,2021-01-01 22:30:00,2021-01-31 08:00:00,15214.034095296947,16195.537467192333,6.45130256543065,-6.569922061510802,25.61103340424897,5,80.0,21825.453607848445,,,
top7,2021,2,February,2021-02,2021-02-01 07:00:00,2021-02-28 09:00:00,16195.537467192333,20022.455238573653,23.62945829450609,-13.4869312150237,69.31749820242557,8,75.0,26982.690065701765,,,
top7,2021,3,March,2021-03,2021-03-01 07:30:00,2021-03-28 07:00:00,20022.455238573653,21501.01648821031,7.384515195659813,-5.644865728426851,26.36779280809709,6,66.66666666666666,28975.230913801308,,,
top7,2021,4,April,2021-04,2021-04-01 07:00:00,2021-04-29 07:00:00,21501.01648821031,23100.534668996672,7.439267727939414,-3.7630535043623903,21.06547762252566,6,50.0,31130.77591626765,,,
top7,2021,5,May,2021-05,2021-05-03 07:00:00,2021-05-31 08:00:00,23100.534668996672,24734.027384318597,7.071233366361174,-4.1212302500223235,28.014477360204115,5,40.0,33332.105730065894,,,
top7,2021,6,June,2021-06,2021-06-04 08:00:00,2021-06-30 17:45:00,24734.027384318597,23823.980132484194,-3.679333081079128,-10.94428087557625,42.09112097607593,5,60.0,32105.70653731931,,,
top7,2021,7,July,2021-07,2021-07-02 07:30:00,2021-07-30 07:00:00,23823.980132484194,27913.58282537861,17.165908761476032,-8.957679288248743,42.289157478613085,8,62.5,37616.94282874279,,,
top7,2021,8,August,2021-08,2021-08-01 20:15:00,2021-08-31 07:00:00,27913.58282537861,33626.041519736726,20.464799270283706,-5.403779142166975,32.26290496232485,6,66.66666666666666,45315.17467026238,,,
top7,2021,9,September,2021-09,2021-09-01 12:00:00,2021-09-28 07:00:00,33626.041519736726,42671.72557432756,26.900829374404633,-1.5735075898553275,25.55458970207825,5,60.0,57505.332489023094,,,
top7,2021,10,October,2021-10,2021-10-02 09:00:00,2021-10-31 23:15:00,42671.72557432756,38630.21195410676,-9.471174567761754,-17.779399636618898,75.93733940804105,3,33.33333333333333,52058.9020632159,,,
top7,2021,11,November,2021-11,2021-11-01 04:45:00,2021-11-28 20:15:00,38630.21195410676,51807.59027429877,34.111586899515125,-3.425595023401884,33.74424078532044,6,50.0,69817.01967944327,,,
top7,2021,12,December,2021-12,2021-12-01 08:00:00,2021-12-31 23:45:00,51807.59027429877,53228.43751727479,2.7425464791032583,0.0,6.904468080486927,3,66.66666666666666,71731.78389447667,,,
top7,2022,1,January,2022-01,2022-01-02 07:45:00,2022-01-30 08:00:00,53228.43751727479,54022.73358414284,1.4922400579770345,-2.3591618414885662,14.345985855118137,4,25.0,72802.19430805156,,,
top7,2022,2,February,2022-02,2022-02-03 07:00:00,2022-02-28 15:30:00,54022.73358414284,58731.29660775067,8.715891831489841,-1.598295086365431,16.971783606423426,2,0.0,79147.55481489238,,,
top7,2022,3,March,2022-03,2022-03-03 07:00:00,2022-03-31 03:30:00,58731.29660775067,62777.42019249736,6.889212086989294,-0.7900060828766375,18.852201765492715,3,33.33333333333333,84600.19772775643,,,
top7,2022,4,April,2022-04,2022-04-01 20:00:00,2022-04-30 20:00:00,62777.42019249736,56373.44340215076,-10.201083081639517,-13.944959521833544,59.493488494030444,3,33.33333333333333,75970.06127031668,,,
